"Positions for  as of 11:55 PM ET, 08/20/2025",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Individual ...400,,,,,,,,,,,,,,
Symbol,Description,Qty (Quantity),Price,Price Chng $ (Price Change $),Price Chng % (Price Change %),Mkt Val (Market Value),Day Chng $ (Day Change $),Day Chng % (Day Change %),Cost Basis,Gain $ (Gain/Loss $),Gain % (Gain/Loss %),Reinvest?,Reinvest Capital Gains?,Security Type
USO,UNITED STATES OIL ETF,2,$73.52 ,$1.22 ,1.69%,$147.04 ,$2.44 ,1.69%,$271.86 ,($124.82),-45.91%,No,--,ETFs & Closed End Funds
Cash & Cash Investments,--,--,--,--,--,$12.89 ,$0.00 ,0%,--,--,--,--,--,Cash and Money Market
Account Total,--,--,--,--,--,$159.93 ,$2.44 ,1.55%,$271.86 ,($124.82),-45.91%,--,--,--
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Rollover_IRA ...423,,,,,,,,,,,,,,
Symbol,Description,Qty (Quantity),Price,Price Chng $ (Price Change $),Price Chng % (Price Change %),Mkt Val (Market Value),Day Chng $ (Day Change $),Day Chng % (Day Change %),Cost Basis,Gain $ (Gain/Loss $),Gain % (Gain/Loss %),Reinvest?,Reinvest Capital Gains?,Security Type
AAPL,APPLE INC,140,$226.01 ,($4.55),-1.97%,"$31,641.40 ",($637.00),-1.97%,"$2,600.30 ","$29,041.10 ",1116.84%,No,--,Equity
AMZN,AMAZON.COM INC,200,$223.81 ,($4.20),-1.84%,"$44,762.00 ",($840.00),-1.84%,"$3,630.50 ","$41,131.50 ",1132.94%,No,--,Equity
DIS,DISNEY WALT CO,23,$117.04 ,$0.77 ,0.66%,"$2,691.92 ",$17.71 ,0.66%,"$3,161.50 ",($469.58),-14.85%,No,--,Equity
GOOG,ALPHABET INC CLASS C,120,$200.19 ,($2.30),-1.14%,"$24,022.80 ",($276.00),-1.14%,"$3,338.61 ","$20,684.19 ",619.54%,No,--,Equity
GOOGL,ALPHABET INC CLASS A,80,$199.32 ,($2.25),-1.12%,"$15,945.60 ",($180.00),-1.12%,"$1,075.22 ","$14,870.38 ",1383.01%,No,--,Equity
NKE,NIKE INC CLASS B,3,$76.26 ,($0.62),-0.81%,$228.78 ,($1.86),-0.81%,$198.95 ,$29.83 ,14.99%,No,--,Equity
SPY,SPDR S&P 500 ETF,50,$638.11 ,($1.70),-0.27%,"$31,905.50 ",($85.00),-0.27%,"$6,337.00 ","$25,568.50 ",403.48%,No,--,ETFs & Closed End Funds
Cash & Cash Investments,--,--,--,--,--,"$3,016.35 ",$0.00 ,0%,--,--,--,--,--,Cash and Money Market
Account Total,--,--,--,--,--,"$154,214.35 ","($2,002.15)",-1.28%,"$20,342.08 ","$130,855.92 ",643.28%,--,--,--
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Roth_Contributory_IRA ...858,,,,,,,,,,,,,,
Symbol,Description,Qty (Quantity),Price,Price Chng $ (Price Change $),Price Chng % (Price Change %),Mkt Val (Market Value),Day Chng $ (Day Change $),Day Chng % (Day Change %),Cost Basis,Gain $ (Gain/Loss $),Gain % (Gain/Loss %),Reinvest?,Reinvest Capital Gains?,Security Type
BP,BP P L C FSPONSORED ADR 1 ADR REPS 6 ORD SHS,40,$33.88 ,$0.06 ,0.18%,"$1,355.20 ",$2.40 ,0.18%,"$1,645.86 ",($290.66),-17.66%,No,--,Equity
KO,THE COCA-COLA CO,93,$70.70 ,$0.57 ,0.81%,"$6,575.10 ",$53.01 ,0.81%,"$3,190.40 ","$3,384.70 ",106.09%,No,--,Equity
MCD,MCDONALDS CORP,6,$313.08 ,$2.15 ,0.69%,"$1,878.48 ",$12.90 ,0.69%,$579.76 ,"$1,298.72 ",224.01%,No,--,Equity
NFLX,NETFLIX INC,4,"$1,213.86 ",($0.29),-0.02%,"$4,855.44 ",($1.16),-0.02%,$888.35 ,"$3,967.09 ",446.57%,No,--,Equity
SBUX,STARBUCKS CORP,7,$89.51 ,($1.42),-1.56%,$626.57 ,($9.94),-1.56%,$772.80 ,($146.23),-18.92%,No,--,Equity
Cash & Cash Investments,--,--,--,--,--,"$1,302.35 ",$0.00 ,0%,--,--,--,--,--,Cash and Money Market
Account Total,--,--,--,--,--,"$16,593.14 ",$57.21 ,0.35%,"$7,077.17 ","$8,213.62 ",116.06%,--,--,--
