"Positions for CUSTACCS as of 11:51 PM ET, 08/20/2025","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Roth_Contributory_IRA ...454","","","","","","","","","","","","","",""
"Symbol","Description","Qty (Quantity)","Price","Price Chng $ (Price Change $)","Price Chng % (Price Change %)","Mkt Val (Market Value)","Day Chng $ (Day Change $)","Day Chng % (Day Change %)","Cost Basis","Gain $ (Gain/Loss $)","Gain % (Gain/Loss %)","Reinvest?","Reinvest Capital Gains?","Security Type"
"AAL","AMERICAN AIRLS GROUP INC","175","$12.8","-$0.42","-3.18%","$2240.00","-$73.5","-3.18%","$4298.00","-$2058.00","-47.88%","No","--","Equity"
"AAPL","APPLE INC","40","$226.01","-$4.55","-1.97%","$9040.4","-$182.00","-1.97%","$4848.00","$4192.4","86.48%","No","--","Equity"
"AMC","AMC ENTMT HLDGS INC CLASS A","10","$2.84","-$0.02","-0.7%","$28.4","-$0.2","-0.7%","$694.97","-$666.57","-95.91%","No","--","Equity"
"CMG","CHIPOTLE MEXICAN GRILL I","500","$43.07","-$0.18","-0.42%","$21535.00","-$90.00","-0.42%","$4433.97","$17101.03","385.68%","No","--","Equity"
"LVMUY","LVMH MOET HENNESSY LOU FSPONSORED ADR 1 ADR REPS 0.2 ORD SHS","47.613","$114.93","$0.89","0.78%","$5472.16","$42.38","0.78%","$2978.27","$2493.89","83.74%","No","--","Equity"
"Cash & Cash Investments","--","--","--","--","--","$1601.22","$0.00","0%","--","--","--","--","--","Cash and Money Market"
"Account Total","--","--","--","--","--","$39917.18","-$303.32","-0.75%","$17253.21","$21062.75","122.08%","--","--","--"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Individual ...872","","","","","","","","","","","","","",""
"Symbol","Description","Qty (Quantity)","Price","Price Chng $ (Price Change $)","Price Chng % (Price Change %)","Mkt Val (Market Value)","Day Chng $ (Day Change $)","Day Chng % (Day Change %)","Cost Basis","Gain $ (Gain/Loss $)","Gain % (Gain/Loss %)","Reinvest?","Reinvest Capital Gains?","Security Type"
"Cash & Cash Investments","--","--","--","--","--","$0.00","$0.00","0%","--","--","--","--","--","Cash and Money Market"
"Account Total","--","--","--","--","--","$0.00","$0.00","0%","N/A","N/A","N/A","--","--","--"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Rollover_IRA ...330","","","","","","","","","","","","","",""
"Symbol","Description","Qty (Quantity)","Price","Price Chng $ (Price Change $)","Price Chng % (Price Change %)","Mkt Val (Market Value)","Day Chng $ (Day Change $)","Day Chng % (Day Change %)","Cost Basis","Gain $ (Gain/Loss $)","Gain % (Gain/Loss %)","Reinvest?","Reinvest Capital Gains?","Security Type"
"AAPL","APPLE INC","40","$226.01","-$4.55","-1.97%","$9040.4","-$182.00","-1.97%","$1800.65","$7239.75","402.06%","No","--","Equity"
"AMZN","AMAZON.COM INC","20","$223.81","-$4.2","-1.84%","$4476.2","-$84.00","-1.84%","$1299.9","$3176.3","244.35%","No","--","Equity"
"BP","BP P L C FSPONSORED ADR 1 ADR REPS 6 ORD SHS","125","$33.88","$0.06","0.18%","$4235.00","$7.5","0.18%","$4509.7","-$274.7","-6.09%","No","--","Equity"
"CMG","CHIPOTLE MEXICAN GRILL I","800","$43.07","-$0.18","-0.42%","$34456.00","-$144.00","-0.42%","$16608.00","$17848.00","107.47%","No","--","Equity"
"COST","COSTCO WHSL CORP NEW","15","$994.57","$13.72","1.4%","$14918.55","$205.8","1.4%","$5589.00","$9329.55","166.93%","No","--","Equity"
"KO","THE COCA-COLA CO","50","$70.7","$0.57","0.81%","$3535.00","$28.5","0.81%","$1906.00","$1629.00","85.47%","No","--","Equity"
"LLY","ELI LILLY AND CO","80","$705.44","$2.23","0.32%","$56435.2","$178.4","0.32%","$10938.77","$45496.43","415.92%","No","--","Equity"
"META","META PLATFORMS INC CLASS A","12","$747.72","-$3.76","-0.5%","$8972.64","-$45.12","-0.5%","$2540.6","$6432.04","253.17%","No","--","Equity"
"MSFT","MICROSOFT CORP","30","$505.72","-$4.05","-0.79%","$15171.6","-$121.5","-0.79%","$6368.75","$8802.85","138.22%","No","--","Equity"
"OLO","OLO INC CLASS A","145","$10.23","$0.01","0.1%","$1483.35","$1.45","0.1%","$5776.5","-$4293.15","-74.32%","No","--","Equity"
"PG","PROCTER & GAMBLE CO","38","$159.51","$1.11","0.7%","$6061.38","$42.18","0.7%","$3052.13","$3009.25","98.6%","No","--","Equity"
"SBUX","STARBUCKS CORP","6","$89.51","-$1.42","-1.56%","$537.06","-$8.52","-1.56%","$661.98","-$124.92","-18.87%","No","--","Equity"
"T","AT&T INC","200","$29.28","$0.3","1.04%","$5856.00","$60.00","1.04%","$4574.34","$1281.66","28.02%","No","--","Equity"
"TGT","TARGET CORP EQUITY CLASS EQUITY","30","$98.69","-$6.67","-6.33%","$2960.7","-$200.1","-6.33%","$2984.98","-$24.28","-0.81%","No","--","Equity"
"TSLA","TESLA INC","30","$323.9","-$5.41","-1.64%","$9717.00","-$162.3","-1.64%","$6220.00","$3497.00","56.22%","No","--","Equity"
"WBD","WARNER BROS DISCOVERY IN","48","$11.54","-$0.02","-0.17%","$553.92","-$0.96","-0.17%","$1392.54","-$838.62","-60.22%","No","--","Equity"
"BTC","GRAYSCALE BITCOIN MINI TRUST ETF","24","$50.62","$0.55","1.1%","$1214.88","$13.2","1.1%","$616.08","$598.8","97.2%","No","--","ETFs & Closed End Funds"
"GBTC","GRAYSCALE BITCOIN TRUST ETF","120","$89.79","$0.96","1.08%","$10774.8","$115.2","1.08%","$5544.67","$5230.13","94.33%","No","--","ETFs & Closed End Funds"
"Cash & Cash Investments","--","--","--","--","--","$8100.52","$0.00","0%","--","--","--","--","--","Cash and Money Market"
"Account Total","--","--","--","--","--","$198500.2","-$296.27","-0.15%","$82384.59","$108015.09","131.11%","--","--","--"
