Account Number,Investment Name,Symbol,Shares,Share Price,Total Value,,,,,,,,
x615,VANGUARD FEDERAL MONEY MARKET INVESTOR CL,VMFXX,0.25,1,0.25,,,,,,,,
x615,VANGUARD HIGH DIVIDEND YIELD INDEX ADMIRAL SHS,VHYAX,1309.279,41.49,54321.99,,,,,,,,
,,,,,,,,,,,,,
x763,VANGUARD 500 INDEX ADMIRAL CL,VFIAX,166.425,591.08,98370.49,,,,,,,,
x763,VANGUARD INTERMEDIATE TERM BOND INDEX ADMIRAL CL,VBILX,4401.484,10.47,46083.54,,,,,,,,
x763,VANGUARD EMERGING MARKETS STOCK INDEX ADMIRAL CL,VEMAX,1650.063,42.54,70193.68,,,,,,,,
x763,VANGUARD FEDERAL MONEY MARKET INVESTOR CL,VMFXX,3.92,1,3.92,,,,,,,,
x763,VANGUARD REAL ESTATE INDEX ADMIRAL CL,VGSLX,478.728,128.52,61526.12,,,,,,,,
x763,VANGUARD SMALL CAP INDEX ADMIRAL CL,VSMAX,1025.836,117.42,120453.66,,,,,,,,
x763,VANGUARD TARGET RETIREMENT 2050 INVESTOR CL,VFIFX,1972.297,56.44,111316.44,,,,,,,,
,,,,,,,,,,,,,
x142,VANGUARD FEDERAL MONEY MARKET INVESTOR CL,VMFXX,7.85,1,7.85,,,,,,,,
x142,VANGUARD 500 INDEX ADMIRAL CL,VFIAX,31.029,591.08,18340.62,,,,,,,,
,,,,,,,,,,,,,
x821,VANGUARD FEDERAL MONEY MARKET INVESTOR CL,VMFXX,0.18,1,0.18,,,,,,,,
x821,VANGUARD 500 INDEX ADMIRAL CL,VFIAX,334.602,591.08,197776.55,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Account Number,Trade Date,Settlement Date,Transaction Type,Transaction Description,Investment Name,Symbol,Shares,Share Price,Principal Amount,Commissions and Fees,Net Amount,Accrued Interest,Account Type
x615,8/5/2025,8/6/2025,Buy,Buy,VANGUARD HIGH DIVIDEND YIELD INDEX ADMIRAL SHS,VHYAX,9.881,40.48,-400,0,-400,0,CASH
x615,8/6/2025,8/6/2025,Funds Received,Funds received via Electronic Bank Transfer,CASH,,0,0,400,0,400,0,CASH
x615,7/31/2025,7/31/2025,Dividend,Dividend Received,VANGUARD INTERMEDIATE TERM BOND INDEX ADMIRAL CL,VBILX,0,1,158.33,0,158.33,0,CASH
x615,7/31/2025,7/31/2025,Reinvestment,Dividend Reinvestment,VANGUARD INTERMEDIATE TERM BOND INDEX ADMIRAL CL,VBILX,15.239,10.39,-158.33,0,-158.33,0,CASH
x615,7/31/2025,7/31/2025,Reinvestment,Dividend Reinvestment,VANGUARD FEDERAL MONEY MARKET INVESTOR CL,VMFXX,0,0,-0.02,0,-0.02,0,CASH
x615,7/31/2025,7/31/2025,Dividend,Dividend Received,VANGUARD FEDERAL MONEY MARKET INVESTOR CL,VMFXX,0,0,0.02,0,0.02,0,CASH
x615,7/31/2025,7/31/2025,Dividend,Dividend Received,VANGUARD FEDERAL MONEY MARKET INVESTOR CL,VMFXX,0,0,0.03,0,0.03,0,CASH
x615,7/31/2025,7/31/2025,Reinvestment,Dividend Reinvestment,VANGUARD FEDERAL MONEY MARKET INVESTOR CL,VMFXX,0,0,-0.03,0,-0.03,0,CASH
