season_year,personId,personName,games_played,minutes,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,points,position,teamTricode,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,threepointers_per_game,field_goal_percentage,three_point_percentage,free_throw_percentage
2011-12,255,Grant Hill,49,0.0,201,451,14,53,83,109,29,142,171,107,41,29,65,499,F,PHX,0.0,10.183673469387756,3.489795918367347,2.183673469387755,0.8367346938775511,0.5918367346938775,1.3265306122448979,0.2857142857142857,0.44567627494456763,0.2641509433962264,0.7614678899082569
2011-12,436,Juwan Howard,28,0.0,17,55,0,0,8,10,18,29,47,10,4,1,20,42,,MIA,0.0,1.5,1.6785714285714286,0.35714285714285715,0.14285714285714285,0.03571428571428571,0.7142857142857143,0.0,0.3090909090909091,0.0,0.8
2011-12,467,Jason Kidd,48,0.0,99,273,79,223,22,28,15,183,198,264,82,10,91,299,G,DAL,0.0,6.229166666666667,4.125,5.5,1.7083333333333333,0.20833333333333334,1.8958333333333333,1.6458333333333333,0.3626373626373626,0.3542600896860987,0.7857142857142857
2011-12,703,Kurt Thomas,53,0.0,73,157,0,0,14,20,39,149,188,46,24,31,31,160,C,POR,0.0,3.018867924528302,3.547169811320755,0.8679245283018868,0.4528301886792453,0.5849056603773585,0.5849056603773585,0.0,0.46496815286624205,0.0,0.7
2011-12,708,Kevin Garnett,60,0.0,391,777,3,9,162,189,66,428,494,175,56,61,107,947,F,BOS,0.0,15.783333333333333,8.233333333333333,2.9166666666666665,0.9333333333333333,1.0166666666666666,1.7833333333333334,0.05,0.5032175032175032,0.3333333333333333,0.8571428571428571
2011-12,711,Jerry Stackhouse,30,0.0,37,100,13,38,21,23,6,17,23,14,10,3,13,108,,ATL,0.0,3.6,0.7666666666666667,0.4666666666666667,0.3333333333333333,0.1,0.43333333333333335,0.43333333333333335,0.37,0.34210526315789475,0.9130434782608695
2011-12,948,Marcus Camby,59,0.0,128,287,2,5,29,64,157,373,530,107,50,85,57,287,C,"HOU, POR",0.0,4.864406779661017,8.983050847457626,1.8135593220338984,0.847457627118644,1.4406779661016949,0.9661016949152542,0.03389830508474576,0.445993031358885,0.4,0.453125
2011-12,951,Ray Allen,46,0.0,226,493,106,234,97,106,14,128,142,109,49,8,68,655,G,BOS,0.0,14.23913043478261,3.0869565217391304,2.369565217391304,1.065217391304348,0.17391304347826086,1.4782608695652173,2.3043478260869565,0.45841784989858014,0.452991452991453,0.9150943396226415
2011-12,956,Erick Dampier,15,0.0,1,8,0,0,0,0,10,15,25,4,1,4,3,2,,ATL,0.0,0.13333333333333333,1.6666666666666667,0.26666666666666666,0.06666666666666667,0.26666666666666666,0.2,0.0,0.125,0.0,0.0
2011-12,959,Steve Nash,62,0.0,295,555,55,141,127,142,26,160,186,664,38,8,229,772,G,PHX,0.0,12.451612903225806,3.0,10.709677419354838,0.6129032258064516,0.12903225806451613,3.693548387096774,0.8870967741935484,0.5315315315315315,0.3900709219858156,0.8943661971830986
2011-12,965,Derek Fisher,63,0.0,129,348,35,109,57,67,12,109,121,170,51,4,73,350,G,"LAL, OKC",0.0,5.555555555555555,1.9206349206349207,2.6984126984126986,0.8095238095238095,0.06349206349206349,1.1587301587301588,0.5555555555555556,0.3706896551724138,0.3211009174311927,0.8507462686567164
2011-12,977,Kobe Bryant,58,0.0,574,1336,87,287,381,451,66,247,313,264,69,18,204,1616,G,LAL,0.0,27.862068965517242,5.396551724137931,4.551724137931035,1.1896551724137931,0.3103448275862069,3.5172413793103448,1.5,0.4296407185628742,0.30313588850174217,0.844789356984479
2011-12,979,Jermaine O'Neal,25,0.0,52,120,0,0,21,31,37,98,135,10,8,43,21,125,C,BOS,0.0,5.0,5.4,0.4,0.32,1.72,0.84,0.0,0.43333333333333335,0.0,0.6774193548387096
2011-12,1112,Ben Wallace,62,0.0,34,86,1,4,16,47,81,188,269,43,47,51,34,85,F,DET,0.0,1.3709677419354838,4.338709677419355,0.6935483870967742,0.7580645161290323,0.8225806451612904,0.5483870967741935,0.016129032258064516,0.3953488372093023,0.25,0.3404255319148936
2011-12,1495,Tim Duncan,58,0.0,361,733,0,4,173,249,110,410,520,132,38,88,97,895,F,SAS,0.0,15.431034482758621,8.96551724137931,2.2758620689655173,0.6551724137931034,1.5172413793103448,1.6724137931034482,0.0,0.4924965893587995,0.0,0.6947791164658634
2011-12,1497,Chauncey Billups,20,0.0,83,228,48,125,85,95,4,46,50,80,9,3,38,299,G,LAC,0.0,14.95,2.5,4.0,0.45,0.15,1.9,2.4,0.36403508771929827,0.384,0.8947368421052632
2011-12,1499,Tony Battie,27,0.0,19,51,0,1,4,4,8,59,67,16,4,6,4,42,C,PHI,0.0,1.5555555555555556,2.4814814814814814,0.5925925925925926,0.14814814814814814,0.2222222222222222,0.14814814814814814,0.0,0.37254901960784315,0.0,1.0
2011-12,1503,Tracy McGrady,52,0.0,101,231,15,33,56,83,23,131,154,110,16,15,53,273,,ATL,0.0,5.25,2.9615384615384617,2.1153846153846154,0.3076923076923077,0.28846153846153844,1.0192307692307692,0.28846153846153844,0.43722943722943725,0.45454545454545453,0.6746987951807228
2011-12,1515,Anthony Parker,51,0.0,141,326,50,138,35,56,10,128,138,120,38,7,50,367,G,CLE,0.0,7.196078431372549,2.7058823529411766,2.3529411764705883,0.7450980392156863,0.13725490196078433,0.9803921568627451,0.9803921568627451,0.4325153374233129,0.36231884057971014,0.625
2011-12,1536,Stephen Jackson,47,0.0,159,425,49,170,94,114,22,141,163,118,54,13,103,461,F,"MIL, SAS",0.0,9.808510638297872,3.4680851063829787,2.5106382978723403,1.148936170212766,0.2765957446808511,2.1914893617021276,1.0425531914893618,0.37411764705882355,0.28823529411764703,0.8245614035087719
2011-12,1630,Mikki Moore,7,0.0,9,20,0,0,6,7,7,15,22,5,3,3,7,24,,GSW,0.0,3.4285714285714284,3.142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,1.0,0.0,0.45,0.0,0.8571428571428571
2011-12,1710,Mike Bibby,39,0.0,35,124,27,85,6,8,5,54,59,80,21,3,20,103,G,NYK,0.0,2.641025641025641,1.5128205128205128,2.051282051282051,0.5384615384615384,0.07692307692307693,0.5128205128205128,0.6923076923076923,0.28225806451612906,0.3176470588235294,0.75
2011-12,1712,Antawn Jamison,65,0.0,421,1044,91,267,185,271,123,285,408,131,51,43,90,1118,F,CLE,0.0,17.2,6.276923076923077,2.0153846153846153,0.7846153846153846,0.6615384615384615,1.3846153846153846,1.4,0.40325670498084293,0.3408239700374532,0.6826568265682657
2011-12,1713,Vince Carter,61,0.0,223,542,74,205,95,115,32,173,205,139,56,25,84,615,F,DAL,0.0,10.081967213114755,3.360655737704918,2.278688524590164,0.9180327868852459,0.4098360655737705,1.3770491803278688,1.2131147540983607,0.4114391143911439,0.36097560975609755,0.8260869565217391
2011-12,1716,Larry Hughes,9,0.0,5,22,1,7,1,2,1,4,5,7,2,0,12,12,,ORL,0.0,1.3333333333333333,0.5555555555555556,0.7777777777777778,0.2222222222222222,0.0,1.3333333333333333,0.1111111111111111,0.22727272727272727,0.14285714285714285,0.5
2011-12,1717,Dirk Nowitzki,62,0.0,473,1034,78,212,318,355,46,372,418,136,42,30,117,1342,F,DAL,0.0,21.64516129032258,6.741935483870968,2.193548387096774,0.6774193548387096,0.4838709677419355,1.8870967741935485,1.2580645161290323,0.4574468085106383,0.36792452830188677,0.895774647887324
2011-12,1718,Paul Pierce,61,0.0,394,890,100,273,293,344,37,280,317,274,70,26,173,1181,F,BOS,0.0,19.360655737704917,5.19672131147541,4.491803278688525,1.1475409836065573,0.4262295081967213,2.8360655737704916,1.639344262295082,0.44269662921348313,0.3663003663003663,0.8517441860465116
2011-12,1730,Brian Skinner,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,MEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12,1733,Al Harrington,64,0.0,345,773,101,303,119,176,72,318,390,88,58,12,112,910,F,DEN,0.0,14.21875,6.09375,1.375,0.90625,0.1875,1.75,1.578125,0.4463130659767141,0.3333333333333333,0.6761363636363636
2011-12,1737,Nazr Mohammed,63,0.0,79,169,0,1,13,23,59,111,170,14,20,37,26,171,C,OKC,0.0,2.7142857142857144,2.6984126984126986,0.2222222222222222,0.31746031746031744,0.5873015873015873,0.4126984126984127,0.0,0.46745562130177515,0.0,0.5652173913043478
2011-12,1740,Rashard Lewis,28,0.0,85,221,16,67,31,37,34,75,109,27,23,10,32,217,F,WAS,0.0,7.75,3.892857142857143,0.9642857142857143,0.8214285714285714,0.35714285714285715,1.1428571428571428,0.5714285714285714,0.38461538461538464,0.23880597014925373,0.8378378378378378
2011-12,1802,Brad Miller,15,0.0,9,27,7,15,10,12,4,15,19,24,4,2,12,35,C,MIN,0.0,2.3333333333333335,1.2666666666666666,1.6,0.26666666666666666,0.13333333333333333,0.8,0.4666666666666667,0.3333333333333333,0.4666666666666667,0.8333333333333334
2011-12,1853,Anthony Carter,24,0.0,17,53,5,17,8,10,5,28,33,34,8,4,17,47,,TOR,0.0,1.9583333333333333,1.375,1.4166666666666667,0.3333333333333333,0.16666666666666666,0.7083333333333334,0.20833333333333334,0.32075471698113206,0.29411764705882354,0.8
2011-12,1863,Earl Boykins,8,0.0,12,36,2,9,13,15,0,11,11,17,1,0,7,39,,HOU,0.0,4.875,1.375,2.125,0.125,0.0,0.875,0.25,0.3333333333333333,0.2222222222222222,0.8666666666666667
2011-12,1882,Elton Brand,60,0.0,287,581,0,1,85,116,145,284,429,97,58,97,65,659,F,PHI,0.0,10.983333333333333,7.15,1.6166666666666667,0.9666666666666667,1.6166666666666667,1.0833333333333333,0.0,0.4939759036144578,0.0,0.7327586206896551
2011-12,1884,Baron Davis,29,0.0,68,184,26,85,16,24,13,43,56,135,34,3,76,178,G,NYK,0.0,6.137931034482759,1.9310344827586208,4.655172413793103,1.1724137931034482,0.10344827586206896,2.6206896551724137,0.896551724137931,0.3695652173913043,0.3058823529411765,0.6666666666666666
2011-12,1885,Lamar Odom,50,0.0,123,349,28,111,58,98,36,172,208,83,20,18,52,332,F,DAL,0.0,6.64,4.16,1.66,0.4,0.36,1.04,0.56,0.3524355300859599,0.25225225225225223,0.5918367346938775
2011-12,1888,Richard Hamilton,28,0.0,140,310,17,46,29,37,20,46,66,84,12,1,49,326,G,CHI,0.0,11.642857142857142,2.357142857142857,3.0,0.42857142857142855,0.03571428571428571,1.75,0.6071428571428571,0.45161290322580644,0.3695652173913043,0.7837837837837838
2011-12,1889,Andre Miller,66,0.0,242,552,18,83,137,169,53,168,221,441,63,9,177,639,G,DEN,0.0,9.681818181818182,3.3484848484848486,6.681818181818182,0.9545454545454546,0.13636363636363635,2.6818181818181817,0.2727272727272727,0.4384057971014493,0.21686746987951808,0.8106508875739645
2011-12,1890,Shawn Marion,63,0.0,288,646,20,68,74,93,145,320,465,132,67,36,98,670,F,DAL,0.0,10.634920634920634,7.380952380952381,2.0952380952380953,1.0634920634920635,0.5714285714285714,1.5555555555555556,0.31746031746031744,0.4458204334365325,0.29411764705882354,0.7956989247311828
2011-12,1891,Jason Terry,63,0.0,357,830,138,365,98,111,16,133,149,226,73,11,127,950,G,DAL,0.0,15.079365079365079,2.365079365079365,3.5873015873015874,1.1587301587301588,0.1746031746031746,2.015873015873016,2.1904761904761907,0.43012048192771085,0.3780821917808219,0.8828828828828829
2011-12,1894,Corey Maggette,32,0.0,139,373,24,66,178,208,21,104,125,39,23,1,59,480,F,CHA,0.0,15.0,3.90625,1.21875,0.71875,0.03125,1.84375,0.75,0.3726541554959786,0.36363636363636365,0.8557692307692307
2011-12,1897,Metta World Peace,64,0.0,183,465,56,189,71,115,71,147,218,140,69,27,69,493,F,LAL,0.0,7.703125,3.40625,2.1875,1.078125,0.421875,1.078125,0.875,0.3935483870967742,0.2962962962962963,0.6173913043478261
2011-12,1902,Jeff Foster,11,0.0,9,18,1,1,6,9,18,24,42,4,8,1,7,25,,IND,0.0,2.272727272727273,3.8181818181818183,0.36363636363636365,0.7272727272727273,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.5,1.0,0.6666666666666666
2011-12,1922,Francisco Elson,5,0.0,1,3,0,0,0,0,0,1,1,1,1,1,1,2,,PHI,0.0,0.4,0.2,0.2,0.2,0.2,0.2,0.0,0.3333333333333333,0.0,0.0
2011-12,1938,Manu Ginobili,34,0.0,150,285,52,126,88,101,18,98,116,151,24,12,64,440,G,SAS,0.0,12.941176470588236,3.411764705882353,4.4411764705882355,0.7058823529411765,0.35294117647058826,1.8823529411764706,1.5294117647058822,0.5263157894736842,0.4126984126984127,0.8712871287128713
2011-12,1952,Raja Bell,34,0.0,81,174,34,87,21,25,6,43,49,38,13,2,21,217,G,UTA,0.0,6.382352941176471,1.4411764705882353,1.1176470588235294,0.38235294117647056,0.058823529411764705,0.6176470588235294,1.0,0.46551724137931033,0.39080459770114945,0.84
2011-12,2030,Kenyon Martin,42,0.0,97,220,3,13,20,54,49,132,181,18,44,43,32,217,,LAC,0.0,5.166666666666667,4.309523809523809,0.42857142857142855,1.0476190476190477,1.0238095238095237,0.7619047619047619,0.07142857142857142,0.4409090909090909,0.23076923076923078,0.37037037037037035
2011-12,2034,Mike Miller,39,0.0,91,209,53,117,2,5,22,106,128,42,14,6,30,237,G,MIA,0.0,6.076923076923077,3.282051282051282,1.0769230769230769,0.358974358974359,0.15384615384615385,0.7692307692307693,1.358974358974359,0.4354066985645933,0.452991452991453,0.4
2011-12,2037,Jamal Crawford,60,0.0,283,737,80,260,191,206,16,102,118,191,55,14,111,837,G,POR,0.0,13.95,1.9666666666666666,3.183333333333333,0.9166666666666666,0.23333333333333334,1.85,1.3333333333333333,0.383989145183175,0.3076923076923077,0.9271844660194175
2011-12,2038,Joel Przybilla,27,0.0,22,48,0,0,11,18,29,109,138,6,4,16,22,55,C,POR,0.0,2.037037037037037,5.111111111111111,0.2222222222222222,0.14814814814814814,0.5925925925925926,0.8148148148148148,0.0,0.4583333333333333,0.0,0.6111111111111112
2011-12,2039,Keyon Dooling,46,0.0,66,163,27,81,23,31,3,36,39,51,13,2,34,182,G,BOS,0.0,3.9565217391304346,0.8478260869565217,1.108695652173913,0.2826086956521739,0.043478260869565216,0.7391304347826086,0.5869565217391305,0.4049079754601227,0.3333333333333333,0.7419354838709677
2011-12,2045,Hedo Turkoglu,53,0.0,209,504,91,258,67,95,24,175,199,233,45,17,142,576,F,ORL,0.0,10.867924528301886,3.7547169811320753,4.39622641509434,0.8490566037735849,0.32075471698113206,2.6792452830188678,1.7169811320754718,0.4146825396825397,0.35271317829457366,0.7052631578947368
2011-12,2047,Quentin Richardson,48,0.0,74,197,42,121,25,30,15,108,123,38,28,6,29,215,F,ORL,0.0,4.479166666666667,2.5625,0.7916666666666666,0.5833333333333334,0.125,0.6041666666666666,0.875,0.3756345177664975,0.34710743801652894,0.8333333333333334
2011-12,2048,Jamaal Magloire,34,0.0,17,45,0,0,7,27,25,88,113,6,4,10,22,41,C,TOR,0.0,1.2058823529411764,3.323529411764706,0.17647058823529413,0.11764705882352941,0.29411764705882354,0.6470588235294118,0.0,0.37777777777777777,0.0,0.25925925925925924
2011-12,2052,DeShawn Stevenson,51,0.0,49,172,41,145,9,16,7,94,101,41,19,4,19,148,F,NJN,0.0,2.9019607843137254,1.9803921568627452,0.803921568627451,0.37254901960784315,0.0784313725490196,0.37254901960784315,0.803921568627451,0.28488372093023256,0.2827586206896552,0.5625
2011-12,2059,Eduardo Najera,22,0.0,24,64,8,29,2,4,11,39,50,12,19,4,7,58,,CHA,0.0,2.6363636363636362,2.272727272727273,0.5454545454545454,0.8636363636363636,0.18181818181818182,0.3181818181818182,0.36363636363636365,0.375,0.27586206896551724,0.5
2011-12,2072,Michael Redd,51,0.0,144,360,42,132,88,111,14,63,77,33,13,0,37,418,G,PHX,0.0,8.196078431372548,1.5098039215686274,0.6470588235294118,0.2549019607843137,0.0,0.7254901960784313,0.8235294117647058,0.4,0.3181818181818182,0.7927927927927928
2011-12,2073,Brian Cardinal,44,0.0,14,55,10,49,5,6,4,30,34,16,8,2,8,43,,DAL,0.0,0.9772727272727273,0.7727272727272727,0.36363636363636365,0.18181818181818182,0.045454545454545456,0.18181818181818182,0.22727272727272727,0.2545454545454545,0.20408163265306123,0.8333333333333334
2011-12,2198,Kwame Brown,9,0.0,21,40,0,0,15,34,16,41,57,4,8,0,14,57,C,GSW,0.0,6.333333333333333,6.333333333333333,0.4444444444444444,0.8888888888888888,0.0,1.5555555555555556,0.0,0.525,0.0,0.4411764705882353
2011-12,2199,Tyson Chandler,62,0.0,241,355,0,2,217,315,212,400,612,56,56,89,102,699,C,NYK,0.0,11.274193548387096,9.870967741935484,0.9032258064516129,0.9032258064516129,1.435483870967742,1.6451612903225807,0.0,0.6788732394366197,0.0,0.6888888888888889
