personId,personName,games_played,teamTricode,field_goal_percentage,free_throw_percentage,threepointers_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game
2544,LeBron James,71,LAL,0.54,0.75,2.099,25.662,7.296,8.296,1.254,0.535,3.451
101108,Chris Paul,58,GSW,0.441,0.827,1.345,9.19,3.879,6.776,1.207,0.103,1.31
200768,Kyle Lowry,60,"MIA, PHI",0.432,0.84,1.633,8.117,3.233,4.217,0.983,0.35,1.417
200782,P.J. Tucker,31,"LAC, PHI",0.36,1.0,0.419,1.677,2.742,0.516,0.516,0.226,0.258
201142,Kevin Durant,75,PHX,0.523,0.856,2.24,27.093,6.6,5.04,0.92,1.213,3.253
201143,Al Horford,65,BOS,0.511,0.867,1.662,8.646,6.354,2.585,0.585,0.954,0.738
201144,Mike Conley,76,MIN,0.457,0.911,2.355,11.434,2.868,5.908,1.158,0.224,1.342
201145,Jeff Green,78,HOU,0.456,0.819,0.679,6.526,2.282,0.897,0.205,0.397,0.59
201152,Thaddeus Young,33,"PHX, TOR",0.602,0.4,0.03,4.152,3.121,1.727,0.697,0.152,0.455
201565,Derrick Rose,24,MEM,0.461,0.889,0.625,7.958,1.875,3.25,0.333,0.083,1.292
201566,Russell Westbrook,68,LAC,0.454,0.688,0.618,11.088,5.044,4.5,1.088,0.338,2.118
201567,Kevin Love,55,MIA,0.44,0.787,1.527,8.818,6.145,2.091,0.327,0.182,0.873
201568,Danilo Gallinari,49,"DET, MIL, WAS",0.437,0.857,0.612,5.714,2.204,1.122,0.286,0.122,0.469
201569,Eric Gordon,68,PHX,0.443,0.797,2.206,11.015,1.794,2.044,0.971,0.441,1.074
201572,Brook Lopez,79,MIL,0.485,0.821,1.873,12.532,5.177,1.608,0.544,2.392,1.0
201577,Robin Lopez,16,MIL,0.368,1.0,0.125,1.125,0.312,0.25,0.062,0.188,0.125
201580,JaVale McGee,46,SAC,0.598,0.578,0.022,4.022,2.739,0.37,0.304,0.435,0.739
201587,Nicolas Batum,60,"LAC, PHI",0.453,0.714,1.217,5.333,4.133,2.133,0.8,0.633,0.667
201599,DeAndre Jordan,36,DEN,0.624,0.491,0.0,3.944,4.361,0.722,0.167,0.444,0.639
201935,James Harden,72,LAC,0.428,0.878,2.583,16.556,5.125,8.528,1.069,0.792,2.569
201939,Stephen Curry,74,GSW,0.45,0.923,4.824,26.432,4.459,5.122,0.73,0.378,2.838
201942,DeMar DeRozan,79,CHI,0.48,0.853,0.949,24.013,4.304,5.329,1.139,0.57,1.709
201949,James Johnson,9,IND,0.3,1.0,0.0,0.889,0.444,0.889,0.556,0.111,0.556
201950,Jrue Holiday,69,BOS,0.48,0.833,2.0,12.464,5.406,4.826,0.884,0.768,1.797
201959,Taj Gibson,20,"DET, NYK",0.405,1.0,0.1,1.7,1.85,0.55,0.15,0.35,0.25
201976,Patrick Beverley,73,"MIL, PHI",0.417,0.822,0.836,6.178,3.274,2.904,0.589,0.425,0.89
201980,Danny Green,2,PHI,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0
