rank,name_team_pos,name_team,name,first_letter,last_name
1,"J. Harden Hou - PG,SG",J. Harden Hou,J. Harden ,J,Harden
2,"L. Doncic Dal - PG,SG",L. Doncic Dal,L. Doncic ,L,Doncic
3,"A. Davis LAL - PF,C",A. Davis LAL,A. Davis ,A,Davis
4,K. Towns Min - C,K. Towns Min,K. Towns ,K,Towns
5,"S. Curry GS - PG,SG",S. Curry GS,S. Curry ,S,Curry
6,"G. Antetokounmpo Mil - PF,C",G. Antetokounmpo Mil,G. Antetokounmpo ,G,Antetokounmpo
7,"N. Jokic Den - PF,C",N. Jokic Den,N. Jokic ,N,Jokic
8,D. Lillard Por - PG,D. Lillard Por,D. Lillard ,D,Lillard
9,T. Young Atl - PG,T. Young Atl,T. Young ,T,Young
10,"D. Booker Pho - SG,SF",D. Booker Pho,D. Booker ,D,Booker
11,"J. Tatum Bos - SF,PF",J. Tatum Bos,J. Tatum ,J,Tatum
12,"L. James LAL - PG,SG,SF",L. James LAL,L. James ,L,James
13,"K. Leonard LAC - SG,SF",K. Leonard LAC,K. Leonard ,K,Leonard
14,"K. Durant Bkn - SF,PF",K. Durant Bkn,K. Durant ,K,Durant
15,"J. Embiid Phi - PF,C",J. Embiid Phi,J. Embiid ,J,Embiid
16,"B. Beal Was - SG,SF",B. Beal Was,B. Beal ,B,Beal
17,"B. Adebayo Mia - PF,C",B. Adebayo Mia,B. Adebayo ,B,Adebayo
18,"J. Butler Mia - SF,PF",J. Butler Mia,J. Butler ,J,Butler
19,D. Ayton Pho - C,D. Ayton Pho,D. Ayton ,D,Ayton
20,"P. George LAC - SF,PF",P. George LAC,P. George ,P,George
21,"J. Collins Atl - PF,C",J. Collins Atl,J. Collins ,J,Collins
22,R. Westbrook Was - PG,R. Westbrook Was,R. Westbrook ,R,Westbrook
23,"D. Mitchell Uta - PG,SG",D. Mitchell Uta,D. Mitchell ,D,Mitchell
24,K. Irving Bkn - PG,K. Irving Bkn,K. Irving ,K,Irving
25,B. Simmons Phi - PG,B. Simmons Phi,B. Simmons ,B,Simmons
26,"S. Gilgeous-Alexander OKC - SG,SF",S. Gilgeous,S. Gilgeous,S,Gilgeous
27,J. Morant Mem - PG,J. Morant Mem,J. Morant ,J,Morant
28,R. Gobert Uta - C,R. Gobert Uta,R. Gobert ,R,Gobert
29,N. Vucevic Orl - C,N. Vucevic Orl,N. Vucevic ,N,Vucevic
30,"Z. LaVine Chi - SG,SF",Z. LaVine Chi,Z. LaVine ,Z,LaVine
31,Z. Williamson NO - PF,Z. Williamson NO,Z. Williamson ,Z,Williamson
32,"P. Siakam Tor - PF,C",P. Siakam Tor,P. Siakam ,P,Siakam
33,C. Paul Pho - PG,C. Paul Pho,C. Paul ,C,Paul
34,J. Nurkic Por - C,J. Nurkic Por,J. Nurkic ,J,Nurkic
