player,cost,team
Karl-Anthony Towns,64,forever Young
Kevin Durant,55,The Bandwagon
James Harden,60,LetsBall
Anthony Davis,65,Bzzzzznatch
Nikola Jokić,67,hersheysquirt
Luka Dončić,70,Dirty South Asia
Jimmy Butler,38,hersheysquirt
Joel Embiid,40,Team Hoof Hearted
Stephen Curry,66,Team Hoof Hearted
Zion Williamson,39,Bzzzzznatch
Russell Westbrook,33,White Chocolate
LeBron James,41,hersheysquirt
Giannis Antetokounmpo,59,forever Young
Jayson Tatum,47,Bzzzzznatch
Kyrie Irving,33,LetsBall
Damian Lillard,58,Dirty South Asia
Rudy Gobert,30,hersheysquirt
Andre Drummond,21,White Chocolate
Deandre Ayton,37,White Chocolate
Ben Simmons,27,Dirty South Asia
Trae Young,52,The Bandwagon
Jamal Murray,21,Suns Out Guns Out
Kawhi Leonard,46,Suns Out Guns Out
Pascal Siakam,20,Dirty South Asia
Nikola Vučević,25,LetsBall
Devin Booker,39,Suns Out Guns Out
Kemba Walker,25,White Chocolate
Bradley Beal,41,The Krappers
Goran Dragić,3,Team Hoof Hearted
Ja Morant,20,Bzzzzznatch
Chris Paul,21,Suns Out Guns Out
Donovan Mitchell,24,LetsBall
John Wall,16,White Chocolate
Bam Adebayo,33,The Bandwagon
Jaylen Brown,15,forever Young
Paul George,33,The Krappers
Mitchell Robinson,10,The Bandwagon
Zach LaVine,24,forever Young
Marcus Smart,4,Suns Out Guns Out
John Collins,31,The Bandwagon
Myles Turner,6,Suns Out Guns Out
Shai Gilgeous-Alexander,27,The Krappers
Kristaps Porziņģis,11,LetsBall
Buddy Hield,7,Suns Out Guns Out
Brandon Ingram,18,White Chocolate
Jrue Holiday,19,The Krappers
Kevin Love,8,forever Young
DeMar DeRozan,8,forever Young
Collin Sexton,8,LetsBall
Khris Middleton,18,Team Hoof Hearted
Richaun Holmes,2,LetsBall
De'Aaron Fox,19,The Krappers
Kyle Lowry,15,Dirty South Asia
D'Angelo Russell,12,White Chocolate
Caris LeVert,2,Bzzzzznatch
Hassan Whiteside,6,LetsBall
Clint Capela,4,Bzzzzznatch
Jusuf Nurkić,14,The Krappers
Dennis Schröder,1,Bzzzzznatch
Jaren Jackson Jr.,11,White Chocolate
Al Horford,5,Team Hoof Hearted
Wendell Carter Jr.,5,The Krappers
Draymond Green,10,Team Hoof Hearted
Domantas Sabonis,9,Team Hoof Hearted
Bogdan Bogdanović,3,White Chocolate
LaMarcus Aldridge,6,Suns Out Guns Out
Joe Ingles,2,Bzzzzznatch
Lonzo Ball,6,Team Hoof Hearted
Markelle Fultz,3,hersheysquirt
CJ McCollum,11,Team Hoof Hearted
Blake Griffin,4,Bzzzzznatch
Julius Randle,4,Team Hoof Hearted
Thomas Bryant,3,Suns Out Guns Out
Fred VanVleet,13,Suns Out Guns Out
Lauri Markkanen,4,White Chocolate
Jonas Valančiūnas,8,Suns Out Guns Out
Seth Curry,3,forever Young
Michael Porter Jr.,10,Team Hoof Hearted
Gordon Hayward,8,LetsBall
Danilo Gallinari,4,Bzzzzznatch
Larry Nance Jr.,2,Bzzzzznatch
Mikal Bridges,3,forever Young
Josh Richardson,2,Bzzzzznatch
Tobias Harris,10,Suns Out Guns Out
Dejounte Murray,7,Suns Out Guns Out
T.J. Warren,6,White Chocolate
Coby White,5,LetsBall
Dāvis Bertāns,7,Suns Out Guns Out
Jeff Teague,1,Bzzzzznatch
Robert Covington,4,The Krappers
Aaron Gordon,3,White Chocolate
Rui Hachimura,1,Dirty South Asia
Eric Bledsoe,2,Bzzzzznatch
Devonte' Graham,5,Team Hoof Hearted
Joe Harris,2,LetsBall
Mike Conley,2,forever Young
Lou Williams,1,forever Young
Kelly Oubre Jr.,9,The Krappers
Malcolm Brogdon,6,forever Young
Victor Oladipo,6,White Chocolate
Ricky Rubio,2,LetsBall
OG Anunoby,3,The Krappers
Christian Wood,13,The Krappers
Bojan Bogdanović,7,LetsBall
Andrew Wiggins,9,hersheysquirt
Brook Lopez,2,forever Young
Evan Fournier,6,Team Hoof Hearted
Norman Powell,3,White Chocolate
Tyler Herro,5,Bzzzzznatch
Duncan Robinson,5,Team Hoof Hearted
Brandon Clarke,2,The Bandwagon
LaMelo Ball,2,LetsBall
Killian Hayes,1,The Krappers
Derrick White,4,The Krappers
RJ Barrett,2,White Chocolate
Jerami Grant,2,Suns Out Guns Out
Otto Porter Jr.,2,Team Hoof Hearted
Paul Millsap,5,LetsBall
Darius Bazley,5,The Bandwagon
DeMarcus Cousins,3,hersheysquirt
Steven Adams,2,The Krappers
Derrick Rose,1,hersheysquirt
Spencer Dinwiddie,1,forever Young
Kevin Porter Jr.,1,The Bandwagon
Derrick Jones Jr.,1,Dirty South Asia
Delon Wright,1,The Krappers
Montrezl Harrell,1,hersheysquirt
Terry Rozier,4,The Bandwagon
Alec Burks,1,The Bandwagon
Eric Gordon,1,Dirty South Asia
Malik Beasley,1,hersheysquirt
Jarrett Allen,3,forever Young
Chris Boucher,2,hersheysquirt
Anthony Edwards,1,Dirty South Asia
Tim Hardaway Jr.,1,hersheysquirt
Marvin Bagley III,1,forever Young
Serge Ibaka,1,The Bandwagon
Deni Avdija,2,The Bandwagon
P.J. Washington Jr.,1,hersheysquirt
