year,team_name,regular_season_standing,playoff_result,wins,losses,ties,win_percentage,games_back,team_key
2010,Lebrocalypse,6,1,95,90,4,0.513,15.5,249.l.40919.t.4
2010,dlo,5,2,97,89,3,0.521,14,249.l.40919.t.10
2010,Mr. Wiggles,1,3,111,75,3,0.595,-,249.l.40919.t.1
2010,NZallBlacks,2,4,109,80,0,0.577,3.5,249.l.40919.t.9
2010,Chris Kaman HisPants,3,5,108,79,2,0.577,3.5,249.l.40919.t.8
2010,lawless,4,6,101,88,0,0.534,11.5,249.l.40919.t.5
2010,Showty Me,10,7,70,115,4,0.381,40.5,249.l.40919.t.2
2010,Double Trouble,8,8,78,108,3,0.421,33,249.l.40919.t.3
2010,hersheysquirt,7,9,92,95,2,0.492,19.5,249.l.40919.t.6
2010,The Krappers,9,10,73,115,1,0.389,39,249.l.40919.t.7
2011,The Bandwagon,3,1,72,53,1,0.575,4,265.l.40720.t.11
2011,Mr. Wiggles,1,2,76,49,1,0.607,-,265.l.40720.t.1
2011,NZallBlacks,4,3,69,57,0,0.548,7.5,265.l.40720.t.7
2011,Showty Me,2,4,73,51,2,0.587,2.5,265.l.40720.t.8
2011,The Krappers,5,5,68,57,1,0.544,8,265.l.40720.t.5
2011,lawless,6,6,66,57,3,0.536,9,265.l.40720.t.3
2011,Gimme The Hot Sauce,11,7,48,76,2,0.389,27.5,265.l.40720.t.10
2011,Here4 the Deng Bang,8,8,61,63,2,0.492,14.5,265.l.40720.t.12
2011,Rex Ryan's Nightmare,7,9,64,60,2,0.516,11.5,265.l.40720.t.2
2011,Wright Supremacy,12,10,42,80,4,0.349,32.5,265.l.40720.t.9
2011,hersheysquirt,9,11,57,68,1,0.456,19,265.l.40720.t.4
2011,Chris Kaman HisPants,10,12,50,75,1,0.401,26,265.l.40720.t.6
2012,Sarcastaballers,3,1,110,75,4,0.593,14,304.l.62665.t.2
2012,The Krappers,1,2,123,60,6,0.667,-,304.l.62665.t.6
2012,The Bandwagon,2,3,113,73,3,0.606,11.5,304.l.62665.t.5
2012,LetsBall,4,4,104,83,2,0.556,21,304.l.62665.t.11
2012,Chicago Lakers,6,5,98,90,1,0.521,27.5,304.l.62665.t.9
2012,Los Angeles Lakers,5,6,99,86,4,0.534,25,304.l.62665.t.7
2012,Dirty South Asia,8,7,92,95,2,0.492,33,304.l.62665.t.4
2012,#6,7,8,97,89,3,0.521,27.5,304.l.62665.t.10
2012,Mr. Wiggles,11,9,69,117,3,0.373,55.5,304.l.62665.t.1
2012,hersheysquirt,12,10,58,131,0,0.307,68,304.l.62665.t.8
2012,Silky J's,10,11,74,110,5,0.405,49.5,304.l.62665.t.12
2012,NZallBlacks,9,12,79,107,3,0.426,45.5,304.l.62665.t.3
2013,Riggin for Wiggins,2,1,106,82,1,0.563,3,322.l.90972.t.3
2013,RapscaliLion,1,2,109,79,1,0.579,-,322.l.90972.t.11
2013,The Bandwagon,3,3,105,81,3,0.563,3,322.l.90972.t.6
2013,Dirty South Asia,5,4,98,87,4,0.529,9.5,322.l.90972.t.2
